latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
18.83591,-97.27461,317.9,0.39,0.37,10/1/2022,801,1,VIIRS,n,2.0NRT,282.69,1.62,N
19.00897,-104.25884,323.47,0.61,0.53,10/1/2022,803,1,VIIRS,n,2.0NRT,288.87,6.59,N
19.47581,-99.17077,329.66,0.36,0.57,10/1/2022,1910,1,VIIRS,n,2.0NRT,298.34,1.76,D
18.5971,-98.55933,349.26,0.34,0.56,10/1/2022,1913,1,VIIRS,n,2.0NRT,297.41,3.75,D
20.57599,-101.16718,339.44,0.74,0.76,10/1/2022,2053,1,VIIRS,n,2.0NRT,296.23,11.32,D
21.98563,-98.9641,299.35,0.61,0.53,10/2/2022,739,1,VIIRS,n,2.0NRT,289.32,0.98,N
18.50719,-96.14234,305.27,0.55,0.43,10/2/2022,741,1,VIIRS,n,2.0NRT,288.76,11.3,N
20.03207,-99.26987,331.39,0.72,0.75,10/2/2022,1853,1,VIIRS,n,2.0NRT,298.86,6.44,D
20.02897,-99.26777,367,0.48,0.64,10/2/2022,2034,1,VIIRS,h,2.0NRT,302.34,7.76,D
19.17768,-98.32102,298.11,0.53,0.67,10/3/2022,722,1,VIIRS,n,2.0NRT,279.12,1.63,N
20.46116,-97.54745,297.88,0.69,0.74,10/3/2022,902,1,VIIRS,n,2.0NRT,284.11,0.56,N
19.81065,-97.3747,295.34,0.74,0.76,10/3/2022,905,1,VIIRS,n,2.0NRT,277.9,0.8,N
17.72527,-95.06555,328.81,0.41,0.61,10/3/2022,2014,1,VIIRS,n,2.0NRT,294.3,2.62,D
21.14176,-98.60651,330.72,0.53,0.5,10/3/2022,2017,1,VIIRS,n,2.0NRT,293.11,4.21,D
18.50565,-96.15088,319.57,0.76,0.77,10/4/2022,703,1,VIIRS,n,2.0NRT,286.27,4.21,N
18.50597,-96.14494,342.07,0.46,0.64,10/4/2022,843,1,VIIRS,n,2.0NRT,290.97,30.49,N
17.92923,-102.20636,338.59,0.39,0.44,10/4/2022,845,1,VIIRS,n,2.0NRT,288.45,4.05,N
17.72518,-96.40728,332.67,0.5,0.41,10/4/2022,1955,1,VIIRS,n,2.0NRT,295.94,4.22,D
17.93059,-102.2063,333.24,0.39,0.36,10/5/2022,826,1,VIIRS,n,2.0NRT,293.09,4.42,N
17.48458,-95.86957,330.43,0.38,0.36,10/5/2022,1936,1,VIIRS,n,2.0NRT,297.32,2.56,D
19.49977,-99.19296,329.87,0.45,0.39,10/5/2022,1938,1,VIIRS,l,2.0NRT,303.5,2.76,D
19.02297,-98.62522,298.88,0.39,0.36,10/6/2022,807,1,VIIRS,n,2.0NRT,269.48,1.36,N
18.83731,-97.27589,311.98,0.53,0.42,10/7/2022,748,1,VIIRS,n,2.0NRT,281.25,2.15,N
19.00782,-104.25783,306.7,0.7,0.75,10/7/2022,928,1,VIIRS,n,2.0NRT,285.59,2.13,N
19.17537,-98.31572,327.46,0.68,0.74,10/7/2022,2040,1,VIIRS,n,2.0NRT,287.37,5.86,D
17.93739,-102.20599,313.34,0.72,0.75,10/8/2022,731,1,VIIRS,n,2.0NRT,288.08,2.52,N
17.9293,-102.20839,340.08,0.5,0.66,10/8/2022,909,1,VIIRS,n,2.0NRT,289.45,5.77,N
17.93059,-102.20813,332.21,0.54,0.42,10/8/2022,2019,1,VIIRS,n,2.0NRT,301.67,8.34,D
20.16787,-102.25299,339.12,0.38,0.43,10/8/2022,2021,1,VIIRS,n,2.0NRT,301.78,3.64,D
19.17341,-98.32046,304.96,0.41,0.61,10/9/2022,850,1,VIIRS,n,2.0NRT,280.86,2.39,N
17.1571,-100.39463,301.25,0.33,0.55,10/9/2022,852,1,VIIRS,n,2.0NRT,286.76,0.64,N
17.17683,-100.71609,339.09,0.39,0.37,10/9/2022,2002,1,VIIRS,n,2.0NRT,299.2,5.56,D
17.22147,-100.65103,306.29,0.49,0.4,10/10/2022,833,1,VIIRS,n,2.0NRT,290.55,0.91,N
17.92562,-102.19993,326.27,0.56,0.43,10/10/2022,1945,1,VIIRS,n,2.0NRT,293.8,2.85,D
21.9876,-98.95896,301.9,0.39,0.36,10/11/2022,811,1,VIIRS,n,2.0NRT,288.58,0.55,N
17.92657,-102.2012,310.31,0.44,0.38,10/11/2022,813,1,VIIRS,n,2.0NRT,292.42,1.81,N
19.11163,-102.86937,333.37,0.39,0.59,10/11/2022,1923,1,VIIRS,n,2.0NRT,301.17,3.11,D
21.0647,-103.4304,337.68,0.39,0.59,10/11/2022,1925,1,VIIRS,n,2.0NRT,300.83,5.76,D
21.20521,-104.87435,342.93,0.69,0.74,10/11/2022,2106,1,VIIRS,n,2.0NRT,295.36,17.08,D
19.64161,-98.96925,305.89,0.55,0.42,10/12/2022,754,1,VIIRS,n,2.0NRT,274.1,1.37,N
19.94738,-99.3999,328.46,0.46,0.63,10/12/2022,1906,1,VIIRS,n,2.0NRT,292.65,6.68,D
19.00625,-104.25597,329.56,0.35,0.57,10/12/2022,2046,1,VIIRS,n,2.0NRT,287.51,2.13,D
22.26374,-97.8091,354.56,0.33,0.55,10/13/2022,733,1,VIIRS,n,2.0NRT,282.1,3.07,N
18.50592,-96.14649,329.1,0.46,0.47,10/13/2022,735,1,VIIRS,n,2.0NRT,289.03,7.79,N
20.52409,-100.92644,302.81,0.67,0.74,10/13/2022,915,1,VIIRS,n,2.0NRT,281.53,2.16,N
21.61824,-98.41136,344.87,0.73,0.76,10/13/2022,1847,1,VIIRS,n,2.0NRT,293.25,13.12,D
17.93023,-102.20442,341.53,0.45,0.47,10/13/2022,2025,1,VIIRS,n,2.0NRT,288.63,14.73,D
18.85123,-99.16385,329.96,0.37,0.58,10/13/2022,2027,1,VIIRS,n,2.0NRT,295.56,1.99,D
19.17831,-96.23789,302.46,0.49,0.65,10/14/2022,716,1,VIIRS,n,2.0NRT,282.07,1.47,N
19.80656,-97.37282,295.72,0.58,0.7,10/14/2022,856,1,VIIRS,n,2.0NRT,283.41,0.77,N
17.92902,-102.20519,305.37,0.61,0.54,10/14/2022,858,1,VIIRS,n,2.0NRT,289.73,3.47,N
17.4239,-96.25571,326.45,0.53,0.5,10/14/2022,2008,1,VIIRS,n,2.0NRT,290.71,5.51,D
21.8165,-105.38127,346.48,0.39,0.36,10/14/2022,2010,1,VIIRS,n,2.0NRT,300.45,8.17,D
17.34489,-101.05919,325.54,0.56,0.43,10/15/2022,837,1,VIIRS,n,2.0NRT,290.51,2.39,N
17.42356,-96.25544,332.97,0.43,0.38,10/15/2022,1947,1,VIIRS,n,2.0NRT,293.98,3.85,D
17.93102,-102.20397,333.09,0.46,0.39,10/15/2022,1949,1,VIIRS,n,2.0NRT,298.3,3.8,D
22.10443,-100.9131,298.1,0.39,0.36,10/16/2022,818,1,VIIRS,n,2.0NRT,285.79,0.98,N
17.92978,-102.20556,324.21,0.39,0.36,10/16/2022,820,1,VIIRS,n,2.0NRT,291.89,1.77,N
17.92697,-102.20377,339.96,0.59,0.53,10/16/2022,1930,1,VIIRS,n,2.0NRT,292.49,10.31,D
20.33912,-101.53642,333.92,0.48,0.48,10/16/2022,1932,1,VIIRS,n,2.0NRT,305.42,3.53,D
18.50644,-96.14722,337.87,0.38,0.36,10/17/2022,801,1,VIIRS,n,2.0NRT,286.34,5.48,N
20.02983,-99.27166,349.79,0.35,0.57,10/17/2022,1910,1,VIIRS,n,2.0NRT,293.44,3.87,D
17.93201,-102.20557,329.41,0.6,0.71,10/17/2022,1913,1,VIIRS,n,2.0NRT,282.99,5.44,D
19.77956,-105.20613,333.64,0.39,0.6,10/17/2022,2053,1,VIIRS,n,2.0NRT,289.4,4.76,D
21.95763,-105.18361,367,0.42,0.61,10/17/2022,2055,1,VIIRS,h,2.0NRT,295.33,8.14,D
22.26364,-97.80872,322.56,0.52,0.5,10/18/2022,739,1,VIIRS,n,2.0NRT,284.69,2.43,N
20.57644,-101.17155,341.83,0.55,0.42,10/19/2022,2014,1,VIIRS,n,2.0NRT,293.88,7.23,D
21.63363,-105.29479,336.7,0.39,0.36,10/19/2022,2017,1,VIIRS,n,2.0NRT,287.23,5.05,D
18.79954,-99.17957,295.89,0.58,0.52,10/20/2022,843,1,VIIRS,n,2.0NRT,277.78,1.26,N
19.87584,-103.67915,340.63,0.44,0.38,10/20/2022,1955,1,VIIRS,n,2.0NRT,293.98,4.8,D
20.51405,-97.47912,329.15,0.53,0.42,10/21/2022,826,1,VIIRS,n,2.0NRT,279.18,4.35,N
21.62132,-98.85149,330.89,0.42,0.38,10/21/2022,1938,1,VIIRS,n,2.0NRT,295.88,1.81,D
19.74601,-98.60052,296.75,0.39,0.36,10/22/2022,805,1,VIIRS,n,2.0NRT,280.35,0.57,N
17.93036,-102.2073,318.99,0.52,0.42,10/22/2022,807,1,VIIRS,n,2.0NRT,287.08,3.31,N
19.17633,-96.2357,331.19,0.56,0.43,10/22/2022,1917,1,VIIRS,n,2.0NRT,300.4,3.22,D
18.50608,-96.14383,336.21,0.57,0.43,10/22/2022,1919,1,VIIRS,n,2.0NRT,303.17,44.82,D
19.02514,-98.62308,320.32,0.42,0.45,10/23/2022,748,1,VIIRS,n,2.0NRT,277.74,3.89,N
18.50762,-96.14711,346.76,0.38,0.59,10/23/2022,1858,1,VIIRS,n,2.0NRT,294.42,22.68,D
19.60894,-99.20912,328.08,0.57,0.69,10/23/2022,1900,1,VIIRS,n,2.0NRT,295.59,1.71,D
20.03026,-99.2656,345.15,0.61,0.71,10/23/2022,2040,1,VIIRS,n,2.0NRT,294.04,6.73,D
19.97486,-99.18585,296.76,0.48,0.65,10/24/2022,729,1,VIIRS,n,2.0NRT,284.85,0.98,N
18.50693,-96.14809,346.45,0.58,0.52,10/24/2022,731,1,VIIRS,n,2.0NRT,292.17,17.39,N
22.23397,-98.03062,298.11,0.74,0.76,10/24/2022,907,1,VIIRS,n,2.0NRT,286.58,1.84,N
17.92904,-102.20931,310.8,0.5,0.65,10/24/2022,909,1,VIIRS,n,2.0NRT,290.44,2.06,N
17.44556,-95.47839,330.04,0.74,0.76,10/24/2022,1841,1,VIIRS,n,2.0NRT,288.68,5.43,D
17.92824,-102.20566,334.09,0.54,0.42,10/24/2022,2019,1,VIIRS,n,2.0NRT,298.2,6.54,D
20.04825,-99.2883,342.87,0.59,0.53,10/24/2022,2021,1,VIIRS,n,2.0NRT,292.93,8.17,D
18.50596,-96.1487,316.71,0.6,0.71,10/25/2022,709,1,VIIRS,n,2.0NRT,291.91,2.31,N
